,BandID,BandName,BandLink,BandStatus,Country,Genre,Scraped
380,32212,Zhgoryth,https://www.metal-archives.com/bands/Zhgoryth/32212,Split-up,France,Death Metal,31/08/2019 14:10:46
381,18800,Zhiva,https://www.metal-archives.com/bands/Zhiva/18800,Active,Sweden,Heavy Metal/Hard Rock,31/08/2019 14:10:46
382,3540399359,Zhoda,https://www.metal-archives.com/bands/Zhoda/3540399359,Active,United States,Melodic Progressive Metal,31/08/2019 14:10:46
383,3540422126,Zhor,https://www.metal-archives.com/bands/Zhor/3540422126,Active,Slovakia,Black Metal,31/08/2019 14:10:46
384,3540374889,Zhora,https://www.metal-archives.com/bands/Zhora/3540374889,Active,Ireland,Progressive/Sludge Metal,31/08/2019 14:10:46
385,71442,Zhraja,https://www.metal-archives.com/bands/Zhraja/71442,Active,Belarus,Gothic/Folk Metal with Industrial elements,31/08/2019 14:10:46
386,3540409613,Zhrine,https://www.metal-archives.com/bands/Zhrine/3540409613,Active,Iceland,Black Metal,31/08/2019 14:10:46
387,3540410820,Zhuo,https://www.metal-archives.com/bands/Zhuo/3540410820,Active,Spain,Groove Metal,31/08/2019 14:10:46
388,115861,Zhurgal Dukhiatz,https://www.metal-archives.com/bands/Zhurgal_Dukhiatz/115861,Split-up,France,Death Metal,31/08/2019 14:10:46
389,123122,Zi Factor,https://www.metal-archives.com/bands/Zi_Factor/123122,Active,Indonesia,Heavy Metal/Metalcore,31/08/2019 14:10:46
390,29491,Zi Xul,https://www.metal-archives.com/bands/Zi_Xul/29491,Split-up,Netherlands,Death Metal,31/08/2019 14:10:46
391,117998,Zia,https://www.metal-archives.com/bands/Zia/117998,Split-up,United States,Gothic Metal,31/08/2019 14:10:46
392,44056,Ziad,https://www.metal-archives.com/bands/Ziad/44056,Split-up,United States,Progressive Metal,31/08/2019 14:10:46
393,3540261821,Ziarah,https://www.metal-archives.com/bands/Ziarah/3540261821,Split-up,Indonesia,Black Metal,31/08/2019 14:10:46
394,3540274229,Zidiz,https://www.metal-archives.com/bands/Zidiz/3540274229,Active,Ecuador,Speed Metal,31/08/2019 14:10:46
395,104982,Ziechenbart,https://www.metal-archives.com/bands/Ziechenbart/104982,Split-up,Germany,Thrash/Black Metal,31/08/2019 14:10:46
396,3540441583,Zieg Abuser,https://www.metal-archives.com/bands/Zieg_Abuser/3540441583,Active,Switzerland,Thrash Metal,31/08/2019 14:10:46
397,33855,Ziege,https://www.metal-archives.com/bands/Ziege/33855,Split-up,Norway,Thrash Metal,31/08/2019 14:10:46
398,3540342072,Ziege,https://www.metal-archives.com/bands/Ziege/3540342072,Split-up,Poland,Black Metal,31/08/2019 14:10:46
399,3540436457,Ziege Schwänze,https://www.metal-archives.com/bands/Ziege_Schw%C3%A4nze/3540436457,Active,Canada,Experimental Death Metal,31/08/2019 14:10:46
400,3540456910,Ziegenhorn,https://www.metal-archives.com/bands/Ziegenhorn/3540456910,Active,Estonia,Black/Death Metal,31/08/2019 14:10:46
401,107452,Ziel Bevrijd,https://www.metal-archives.com/bands/Ziel_Bevrijd/107452,Active,Canada,Atmospheric Black Metal,31/08/2019 14:10:46
402,3540401779,Zierler,https://www.metal-archives.com/bands/Zierler/3540401779,Active,Denmark,Progressive Metal,31/08/2019 14:10:46
403,58297,Ziff,https://www.metal-archives.com/bands/Ziff/58297,Split-up,Germany,Progressive Metal/Rock,31/08/2019 14:10:46
404,106249,Zifir,https://www.metal-archives.com/bands/Zifir/106249,Active,Turkey,Black Metal,31/08/2019 14:10:46
405,3540453872,Zig Zags,https://www.metal-archives.com/bands/Zig_Zags/3540453872,Active,United States,Speed Metal/Punk,31/08/2019 14:10:46
406,32775,Ziggurat,https://www.metal-archives.com/bands/Ziggurat/32775,Active,Turkey,Gothic Death/Black Metal,31/08/2019 14:10:46
407,3540432357,Ziggurat,https://www.metal-archives.com/bands/Ziggurat/3540432357,Active,Israel,Black/Death Metal,31/08/2019 14:10:46
408,3540435711,Zigma Detonador,https://www.metal-archives.com/bands/Zigma_Detonador/3540435711,Active,Ecuador,Thrash Metal,31/08/2019 14:10:46
409,3540278129,Zigurat,https://www.metal-archives.com/bands/Zigurat/3540278129,Unknown,Spain,Heavy/Power Metal,31/08/2019 14:10:46
410,3540335267,Zigurat,https://www.metal-archives.com/bands/Zigurat/3540335267,Active,Colombia,Black Metal,31/08/2019 14:10:46
411,3540357676,Zígurath,https://www.metal-archives.com/bands/Z%C3%ADgurath/3540357676,Active,Argentina,Melodic Death Metal,31/08/2019 14:10:46
412,88025,Zihard,https://www.metal-archives.com/bands/Zihard/88025,Active,"Korea, South",Neoclassical Heavy Metal,31/08/2019 14:10:46
413,20486,Zijl,https://www.metal-archives.com/bands/Zijl/20486,Split-up,Australia,Black Metal,31/08/2019 14:10:46
414,3540257575,Zilch,https://www.metal-archives.com/bands/Zilch/3540257575,Active,United States,Heavy/Groove Metal,31/08/2019 14:10:46
415,3540310074,Zilla,https://www.metal-archives.com/bands/Zilla/3540310074,Active,Brazil,Technical/Melodic Death Metal,31/08/2019 14:10:46
416,57896,Zillah,https://www.metal-archives.com/bands/Zillah/57896,Active,United Kingdom,Technical Death Metal,31/08/2019 14:10:46
417,98451,Zillion,https://www.metal-archives.com/bands/Zillion/98451,Active,Germany,Melodic Heavy Metal,31/08/2019 14:10:46
418,123606,Zillion,https://www.metal-archives.com/bands/Zillion/123606,Unknown,Japan,Goregrind,31/08/2019 14:10:46
419,124390,Zillion,https://www.metal-archives.com/bands/Zillion/124390,Split-up,United States,Power Metal,31/08/2019 14:10:46
420,1742,Zimmers Hole,https://www.metal-archives.com/bands/Zimmers_Hole/1742,Active,Canada,Speed/Thrash/Death Metal,31/08/2019 14:10:46
421,3540381231,Zimorog,https://www.metal-archives.com/bands/Zimorog/3540381231,Active,Croatia,Black Metal,31/08/2019 14:10:46
422,3540438624,Zinah,https://www.metal-archives.com/bands/Zinah/3540438624,Active,Indonesia,Death Metal,31/08/2019 14:10:46
423,53521,Zinc Alloy,https://www.metal-archives.com/bands/Zinc_Alloy/53521,Split-up,Japan,Heavy Metal,31/08/2019 14:10:46
424,3540359300,Zindan,https://www.metal-archives.com/bands/Zindan/3540359300,Active,Uzbekistan,Progressive/Melodic Death Metal,31/08/2019 14:10:46
425,116356,Zingira,https://www.metal-archives.com/bands/Zingira/116356,Split-up,Spain,Heavy/Thrash Metal,31/08/2019 14:10:46
426,3540426153,Zinkyeok,https://www.metal-archives.com/bands/Zinkyeok/3540426153,Active,"Korea, South",Melodic Death Metal,31/08/2019 14:10:46
427,3540340474,Zinvmm,https://www.metal-archives.com/bands/Zinvmm/3540340474,Active,Spain,Black Metal/Folk/Ambient,31/08/2019 14:10:46
428,33355,Zion,https://www.metal-archives.com/bands/Zion/33355,Active,United States,Heavy Metal,31/08/2019 14:10:46
429,59979,Zion,https://www.metal-archives.com/bands/Zion/59979,Unknown,Greece,Melodic Black Metal,31/08/2019 14:10:46
430,3540270816,Zion Reign,https://www.metal-archives.com/bands/Zion_Reign/3540270816,Split-up,United States,Melodic Heavy Metal,31/08/2019 14:10:46
431,47957,Zions Abyss,https://www.metal-archives.com/bands/Zions_Abyss/47957,Split-up,Canada,Power Metal,31/08/2019 14:10:46
432,119344,Ziontod,https://www.metal-archives.com/bands/Ziontod/119344,Active,Germany,Black Metal,31/08/2019 14:10:46
433,3540446582,Zipper,https://www.metal-archives.com/bands/Zipper/3540446582,Active,United States,Doom/Stoner Metal/Punk,31/08/2019 14:10:46
434,3540281217,Zippo,https://www.metal-archives.com/bands/Zippo/3540281217,Active,Italy,"Stoner Metal (early), Sludge/Progressive Metal (later)",31/08/2019 14:10:46
435,3540380048,Zirakzigil,https://www.metal-archives.com/bands/Zirakzigil/3540380048,Active,United States,Progressive Stoner/Sludge Metal,31/08/2019 14:10:46
436,3540452078,Ziran,https://www.metal-archives.com/bands/Ziran/3540452078,Active,Argentina,Groove Metal,31/08/2019 14:10:46
437,75326,Zircon,https://www.metal-archives.com/bands/Zircon/75326,Split-up,United States,Black/Death/Thrash Metal,31/08/2019 14:10:46
438,26190,Zirconium,https://www.metal-archives.com/bands/Zirconium/26190,Split-up,New Zealand,Death/Black Metal,31/08/2019 14:10:46
439,3540314682,Ziroh,https://www.metal-archives.com/bands/Ziroh/3540314682,Split-up,United States,Stoner Metal,31/08/2019 14:10:46
440,54270,Ziryab,https://www.metal-archives.com/bands/Ziryab/54270,Changed name,Spain,Heavy Metal,31/08/2019 14:10:46
441,88384,Zirze,https://www.metal-archives.com/bands/Zirze/88384,Split-up,Spain,Folk/Power Metal,31/08/2019 14:10:46
442,111480,Zis,https://www.metal-archives.com/bands/Zis/111480,Split-up,Italy,Heavy Metal,31/08/2019 14:10:46
443,3540367078,Zish,https://www.metal-archives.com/bands/Zish/3540367078,Split-up,United States,Melodic Heavy Metal,31/08/2019 14:10:46
444,3540353641,Zisii,https://www.metal-archives.com/bands/Zisii/3540353641,Active,United States,Black Metal,31/08/2019 14:10:46
445,37591,Zithma,https://www.metal-archives.com/bands/Zithma/37591,Active,Panama,Heavy Metal,31/08/2019 14:10:46
446,3540310588,Zithuan Labyrinth,https://www.metal-archives.com/bands/Zithuan_Labyrinth/3540310588,Changed name,United Kingdom,Black Metal,31/08/2019 14:10:46
447,3540374877,Zitsquatch,https://www.metal-archives.com/bands/Zitsquatch/3540374877,Active,United States,Death Metal/Grindcore,31/08/2019 14:10:46
